C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,GEO_ID,NAME
54370,1387,27958,904,26632,869,22909,831,1185,249,21724,889,20608,881,1116,251,3723,440,1326,167,392,134,361,139,31,31,934,152,26412,772,24700,736,16616,700,318,113,16298,684,15105,708,1193,317,8084,615,1712,197,161,73,161,73,0,29,1551,203,5001600US5302,"Congressional District 2 (116th Congress), Washington"
44859,393,22861,284,21510,302,17760,419,11,15,17749,421,16909,420,840,207,3750,365,1351,119,339,103,323,100,16,27,1012,127,21998,219,20528,211,12409,523,1,2,12408,523,11569,518,839,175,8119,553,1470,71,275,86,275,86,0,29,1195,95,5001600US5303,"Congressional District 3 (116th Congress), Washington"
181287,733,93705,471,87813,464,70873,1017,153,106,70720,1012,66040,1228,4680,594,16940,982,5892,55,1731,282,1655,284,76,65,4161,298,87582,468,81456,477,53562,1133,24,23,53538,1130,48933,1151,4605,630,27894,1136,6126,94,919,229,839,224,80,77,5207,215,5001600US5304,"Congressional District 4 (116th Congress), Washington"
33588,333,17260,218,16182,211,11744,340,256,101,11488,359,10672,423,816,188,4438,363,1078,65,219,84,201,82,18,21,859,105,16328,224,14960,222,9850,451,102,92,9748,451,8962,469,786,214,5110,428,1368,56,346,121,307,110,39,55,1022,123,5001600US5305,"Congressional District 5 (116th Congress), Washington"
37369,1008,20215,675,19008,685,15466,573,2088,312,13378,692,12189,693,1189,311,3542,368,1207,136,331,98,312,103,19,22,876,149,17154,566,15702,533,9829,516,272,130,9557,521,8787,533,770,218,5873,512,1452,147,323,109,323,109,0,29,1129,159,5001600US5306,"Congressional District 6 (116th Congress), Washington"
46943,1683,24532,1156,23288,1125,20072,1069,125,74,19947,1052,19146,1060,801,192,3216,338,1244,200,318,117,299,115,19,21,926,188,22411,1053,20906,1013,16654,903,0,29,16654,903,15941,951,713,281,4252,513,1505,239,339,152,269,124,70,95,1166,219,5001600US5307,"Congressional District 7 (116th Congress), Washington"
56145,1650,29004,1087,27297,1050,23404,1045,50,46,23354,1039,22465,1004,889,296,3893,544,1707,223,412,127,412,127,0,29,1295,252,27141,935,25622,921,17073,831,110,102,16963,827,15979,816,984,251,8549,692,1519,226,169,71,169,71,0,29,1350,233,5001600US5308,"Congressional District 8 (116th Congress), Washington"
64203,1931,34668,1308,33365,1306,28781,1211,39,32,28742,1202,27328,1139,1414,313,4584,504,1303,216,340,108,332,108,8,12,963,196,29535,1050,27673,1068,19892,1003,11,17,19881,1006,18849,1029,1032,275,7781,723,1862,247,403,155,373,156,30,33,1459,225,5001600US5309,"Congressional District 9 (116th Congress), Washington"
58568,1304,29952,841,28609,817,23834,797,2723,337,21111,792,19966,786,1145,266,4775,428,1343,152,268,101,249,95,19,26,1075,152,28616,746,26805,690,16651,665,438,139,16213,676,15010,650,1203,296,10154,630,1811,168,296,93,296,93,0,29,1515,192,5001600US5310,"Congressional District 10 (116th Congress), Washington"
6536,300,3592,264,3332,278,1925,214,0,28,1925,214,1892,218,33,28,1407,226,260,80,40,29,30,27,10,15,220,75,2944,232,2598,226,1758,152,0,28,1758,152,1709,171,49,53,840,203,346,104,42,54,42,54,0,28,304,87,5001600US5401,"Congressional District 1 (116th Congress), West Virginia"
8963,230,4492,181,4271,199,3206,232,40,46,3166,234,3031,242,135,77,1065,195,221,87,27,26,21,25,6,9,194,82,4471,215,4012,207,2383,308,54,62,2329,313,2227,294,102,56,1629,254,459,108,102,57,64,41,38,42,357,104,5001600US5402,"Congressional District 2 (116th Congress), West Virginia"
4795,361,2562,244,2380,248,1287,250,0,28,1287,250,1215,242,72,66,1093,216,182,79,11,15,0,28,11,15,171,79,2233,274,1899,267,1203,288,0,28,1203,288,1115,265,88,76,696,179,334,95,23,25,23,25,0,28,311,97,5001600US5403,"Congressional District 3 (116th Congress), West Virginia"
47279,820,24345,569,22916,549,18720,561,50,47,18670,559,17790,571,880,215,4196,454,1429,83,323,103,315,104,8,16,1106,121,22934,501,21280,491,15369,616,46,44,15323,619,14367,623,956,237,5911,513,1654,115,254,111,247,110,7,12,1400,168,5001600US5501,"Congressional District 1 (116th Congress), Wisconsin"
